,ratings,comments
0,9,닭도 잘 튀기고 싸움도 잘하고 배우들 연기마저 능숙하다
1,8,재밌게본 영화
2,10,진짜 꿀잼
3,10,너무 재미있지만 욕이 좀 있어서 10점 드립니다
4,10,오랜만에 재밌는 한국영화 잘 보았습니다
5,10,👍👍👍
6,10,
7,9,관객 수준 운운하시는 분은 수준이 얼마나 높길래?  나는 수준이 낮아서 간만에 입째지게 웃었네 ㅋ
8,9,욕이 좀 많아서 9점ㅡㅡ
9,1,이런 영화를 극장에서 천육백만이나 봤다는게 놀랍다
10,5,유치함
11,8,.
12,10,:
13,9,대박 웃긴 영화 ㅋㅋㅋㅋㅋ
14,10,오정세씨가 나왔군요.어라?신하균씨도?헐
15,10,생각보다 훨 재미있네
16,10,와이프와 미친듯이 웃으며 너무 잼있었고 스트레스가 쫙 내려가는 영화 이렇게 재미있는 영화 만들어줘서 고마워요
17,10,진짜 웃다 죽는줄 알았네요 ㅋㅋㅋ 쵝오~
18,10,
19,10,
20,10,
21,10,
22,8,
23,10,
24,10,다시 봐도 잼나요~한참 웃음♡
25,7,신선한 소재는 아니지만 배우들의 코믹 연기와 맛깔스러운 감독의 연출 덕분에 보는 내내 웃음이 터질 수밖에 없는 영화. 
