,ratings,comments
0,10,"이제야 봤는데, 동양의 윤회사상이 바탕이라 기생충처럼 오스카상은 못받겠지만, 우리 나라 최고의 영화 중의 하나임에는 틀림 없다"
1,1,아이 구하다가 순직한 소방관에게 어떻게든 지옥 보내려고 안간힘 쓰는 영화
2,8,사후 세계를 현대적 느낌과 잘 섞어서 표현한것 같다 #씨9네마
3,10,진심으로 천국과 지옥을 오고가며 벌어지는 전생에 관한 이야기!!   너무 보고 싶어요!!!
4,8,..
5,10,.
6,10,
7,7,
8,8,저승에서 판결하는것 생각하면 대한민국 쓰래기 판사들이 생각나서 화가남. 생각없이 보면 재밌음.
9,10,신과 함께 1은 주지훈 땜에 봤다가 김동욱 땜에 울었음ㅠㅠ 2편은 주지훈 하얀삵 연기가 멋졌음^^
10,7,
11,10,
12,7,잼나는구만
13,10,
14,10,재미있어요.
15,8,감동적인 한 장면!
16,10,만화로 보고 영화로 보고 다시 만화를 보게만드는.. 최고~! 투자도 많이 받은듯 튼튼한 영화 ㅎㅎ
17,10,
18,10,
19,10,ㅠㅠㅠ  나 원래 영화를 보면서 눈물 하나도 안 흘리는데  날 처음으로 울게 만는 영화였다ㅠㅠ
20,7,"스토리도 있고 좋았긴 한데, 지옥 모습들이나 지옥사자 연기가 너무 과하지 않았나 싶다."
21,10,
22,10,사후세계는 어떤걸까 슬프다
23,7,남은 인생을 어떻게 살아갈지 생각해본 영화
24,10,
25,6,비록 신파가 과다했지만 당시의 나에게 있어 웃음과 울음을 주었던 고마운 영화.
26,10,"CG 범벅을 감추는 어두운 화면과 의도된 오글거리는 장면도 있으나, 재미와 감동이 적절히 잘 섞인 수작이다."
27,8,
28,9,먼가 아쉽지만..  재밋었음
29,10,
30,8,"나름 죽음과 인생을 생각하게 한 영화,조금 정신없지만"
31,7,
32,7,
33,10,
34,9,최고는 아니지만... 최초라는 데 의미를 두면... 볼 만 한 영 화!!
35,10,다시봐도 걸작 !! 
36,7,동양의 정신세계를 영화화한 판타지라는 점에서 가치가 있다. 이와 동시에 인과율로 인해 선과 악으로 사람의 삶이 단적으로 평가된다는 점에서는 다소 단조로운 구성을 가지고 있다. 영화로서의 가치를 평가하자면 평범하고 한국영화가 어떤 정신세계를 담아내려하고 있다라는 가능성 측면에서 보자면 좋은 평가를 주고 싶다. 가감하여 7점이 적당하지 않나 싶다. 
37,10,
38,8,볼만했다 
39,9,판타지에 한표... 한편을 두편으로 쪼개 만들어 쌍 천만을 만든 홍보팀에 한표...
40,10,돌이켜보자
41,10,
42,9,
43,7,그냥 재미있어요
44,10,2편을 먼저 보고 봐도 재밌습니다~~♥ 적극 추천해요~~
45,10,
46,10,마지막 어무니의 사랑 장면에서 폭풍 감동 눈물 펑펑ㅠㅠㅎ 근데 불교 힌두교 등에서는 환생을 끊는 것이 목적이라고 하던데 마지막 환생해서 좋아하는 장면 보고 좀 이상하긴 합니다..
47,7,7재판을 거쳐서 인생을 돌아보고 환생한다는 설정인데 각 재판들의 판정이 너무 뻔하게 보였다. 스토리구성의 허술함때문인듯. 어쨌든 엔딩에서 어머니의 눈물때문에 내게서 눈물을 짜내는건 성공한 영화 ㅎ
48,10,영화로만 즐기기에는  최고였슴
49,7,오랜만에 눈물 펑펑
50,10,ㄱㅊ
51,8,신파가 가미된점 빼고는 재밌는데요 ~
52,1,"멋진 원작을 상투적인 억지신파극으로 만들어버린 망작! 7~80년대 '엄마 없는 하늘 아래' 랑 다름 없는 수준... 원작의 스토리가 아깝고, 배우들이 아깝고, 스텝들이 아깝고..cg가 아까움"
53,8,"검증된 참신한 소재, 화려한 영상미와 가성비 높은 CG, 그리고 마지막엔 욀케 눈물이 나냐"
54,4,울어 울어 울란 말이야. 슬프지? 슬프지 않어? 이래도 안울어? 사이에 간간히 액션과 드라마와 판타지가 있는 영화.
55,5,원작 안보고 봤으면 7점 줬을거다...
56,1,귀인을 좋은곳으로 보내지 못할망정 어떻게든 지옥으로 보내려고 하는 오달수하고 임원희도 개짜증 났고 대왕이라는 자들도 생각이 있는건지 모자른 건지 알수 없는 자들도 많고 보다가 짜증이 밀려옴. 
57,1,CG처리도 매끄럽지않고 스토리도 진부하다 억지로 울으라고 중간중간 넣은 씬들이 보기 불편할정도
58,10,마지막 염라대왕 파트에서 마치 내가 속죄 하듯 한참을 울었내... 삶을 돌아보게 되는  좋은 작품 입니다.
59,8,첫눈에는 판타지 액션 영화가 같지만 사실은 판타지 법원 영화입니다. 죽었던 사람이 살면서 했던 일들을 보고 판단하는 영화인데 완전 흥미롭고 재밌습니다.  프로덕션: 9.0 스토리: 8.0 재미: 8.5
60,9,미스터 고 이후에 절치부심 하셨는지... 대박을 치셨네요. 아주 재미있게 감상했습니다. 지옥을 이렇게 실사화 하다니...^^
61,7,
62,8,1400만을 넘은 역대 영화 관객수 순위 3위  https://sp017.tistory.com/273
63,0,"진심이 아니고, 아무렇게나 막 만든뒤에 마지막에 사람들 눈물 엉엉 짜내며 울 수 밖에 없는 장면을 강제로 넣어 엉엉 울고나와서 '잘 봤다'하게 만든 엉터리 신파극. 중간 쯤 되어서 나오는 지옥들의 퀄리티와 분량이 개판인것만 보아도 알 수 있음. 하정우가 숲속에서 걸으며 교신하며 설명하는 장면은 당시 나왔던 치킨광고랑 판박이라 어이가 없고, 감정이 확 깨었고, 당시 대세였던 소방대원도 시대흐름타서 억지로 넣어놨다.  그리고 고문관친구 연기가 완전개판이었다. 나같았어도 제정신이라면 아무리 고문관이라도 그렇게 현실성 없는 비현실적이고 멍청한 캐릭터는 절대로 안만들어놨을거다."
64,1,진짜 역대급으로 재미없는 영화엿음 마지막에 감성팔이 하는 것도 어? 설마 이쯤에서 엄마가 뭐라고 할려나? 햇더니 그냥 바로 엄마가 감성팔이 시전 ㅋㅋ
65,1,폭력적인 신파극... 억지스러운 상황을 보여주면서 이래도 안울어? 이래도 안울면 니가 인간이냐 싶은 느낌을 받음 사후세계에 대한 메세지도 그냥 착하게 안살면 지옥간다 이렇게 너무 일차원적인 비전을 보여줌 여러모로 별로
66,10,ㅇ
67,10,"보면볼수록 한맺힌 신들도 있고, 눈물이 나는 영화!  수어도 함께 배울수 있어 감동적인 영화"
68,3,"아쉬운 연출과 연기, 막장 신파의 대향연"
69,10,.
70,10,우리나라 영화가 발전하고 있구나를 늒는 영화
71,6,이  정도로 어떻게 1400만 관객을 끌어모았지? 미스터리하네.
72,6,신파가 과하다 못해 흐른다 
73,10,허구인줄 알면서도  가슴뭉쿨하게  하는 짜임새있는  각본..좋았습니다
74,1,"그래서, 왜 죄인인건데?"
75,8,
76,5,액션은 괜찮으나 일단 음악이 너무 촌스러움. 차사들은 왜 또 그렇게 쓸데없이 밝은지..주인공한테 공격적인 것도 그렇고 전반적으로 개연성이 없으니 공감이 안 감. 개그씬만 툭툭 집어넣고..원귀 얘기는 거의 원작 그대로라 먹힌거
77,0,신과함께를 왜좋아하는지 모르겠네
78,9,"1,2편을 합쳐서 동시에 평가하자면 내가 내가본 국내산 한국 천만영화중 최고다!!!!!!!"
79,10,내인생 최고의 영화!!!
80,1,"전개가 엉성하고 읭? 스러운 부분이 많음. 장편 드라마였다면 어울릴 것도 같은데 영화로서는 영... 방대한 세계관을 일단 펼쳐는 놨는데 짧은 러닝타임 안에 보여준 건 너무 얕고 띄엄띄엄이다. 한마디로 스케일은 큰데 스토리는 작다. 억지 눈물 요소도 개인적으로 불호. 슬픈 장면에선 부가 설명이 없어도 누구나 슬픈데 굳이 구구절절 캐릭터의 입으로 쏟아내야 했는지. 동생이 형을 부르짖는 장면은 차라리 침묵이 나아보였음. 감동, 슬픔은 지나치게 과장하면 오글거린다는 것을 모르는 건가."
81,6,"사는 동안 정말 많은 기억들을 만든다. 전혀 생각나지 않는 기억까지도 나중에 죽게 되면 순간 스쳐지나갈지 모른다. 지나고나니 안 좋았던 기억도 좋은 기억이 되는 것 같다. 그일 때문에 변할 수 있었고 그걸 계기로 다시는 그런 잘못을 하지 않게 되었으니까. 죄와 벌. 그리고 심판은 혹 인간의 선한 본성을 확인하고자 하는 신의 시험 같은 게 아닐까. 신이 보고 싶은 건 온갖 죄악을 짓고 심판 받아 고통에 울부짖는 인간의 모습이 아니라, 죄를 지었음에도 스스ㅔ로 그 잘못을 깨달아 진정 용서를 구하고 회개하므로 거듭난 삶을 살아가는 인간을 통해 선한 본성이 회복되어 가는 걸 보고자 하는 게 아닐까."
82,7,원작이랑 많이 다르지만 2차 창작물이라고 생각하고 보면 은근 재밌음
83,7,
84,1,아 진짜 원작 훼손
85,5,
86,10,
