,ratings,comments
0,10,영화 보고 느꼈습니다. 70대 이상 어르신들이   대한민국을 있게 해주셨다는 것을...   근데 종로 앞에서 태극기 부대만 안하시면 얼마나 좋을까요?
1,10,이 영화에 좌파 우파가 어디 있나? 나는 영화 변호인도 감동이고 이 영화도 보면서 엄청 울었을 정도로 감동입니다. 여기서 정치 얘기 안 하셨음 좋겠습니다~~
2,10,우리들의 안녕을 위해 그저 눈감고 꾹 참아온 아버지의 모습을 잘 담아낸 작품
3,10,박근혜때 박정희 미화영화라고해서 안봤다. ocn에서 방영하기에 봤는데 어떤개넘이  박정희 미화영화라고 했냐 썩을넘 그때 시대배경도 잘 표현했고 연기도 좋았다. 하여간에 선동하는 놈들이 문제야.
4,9,수고하셨어요  그시대 아버지모두
5,10,전 국민이 봐야 할 시대극.
6,10,"할아버지,할머니 세대들의 고난과 아픔을 이겨내는 모습을 보며 가슴뭉클하고 저절로 존경심이 들었습니다. 덕분에 저희가 이런 세상에 살 수 있었네요. 그 분들의 노고에 깊은 고마움을 느낍니다."
7,10,1950년 6.25 전쟁과 월남전쟁과 고생하면서 오신 우리 할아버지와 할머니 감사합니다.  믿음의 선배들이 계셔서 오늘 우리나라가 다른 나라에서도 기죽지 않는  주눅들지 않는 나라가 되었습니다. 감사합니다. 고난의 역사 아픔의 역사  잊지 않겠습니다. 후손들에게 바른 역사를 가르쳐서 부끄럽지 않은 후손들로 보살피겠습니다. 감사합니다. 
8,10,눈물이 아니 나올 수 없었다.
9,10,OCN  에서 지금보고있음. 몰입도 짱. 보면서  눈물 너무 많이 흘림..
10,8,아버지 할아버지 세대들의 고난과 아픔의 삶에 눈시울이 붉어진다. 살아남는다는 거 산다는것이 어떤건가 다시 한번 생각해보게 한다. 가족애 형제애 우정을 따뜻하게 잘 그려낸 영화 
11,7,너무 비슷한 한국판 포레스트 검프
12,10,이게 바로 최고의 영화
13,10,황정민이 이렇게 연기를  잘  하는지   ... 천만 관객  대표  배우  입니다   황정민  짱  👍
14,9,정치미화라고 해서 선입견 갖게되어 안보다 이제야 봤네요.^^ 정말 감동적이고 재미있게 잘보았습니다. 한국인이라면 공감하고 슬퍼할줄알고 뭉클해지는 영화입니다.^^
15,10,우리 할아버지 세대 가그렇게 힘든 시절들 을 격었다는 걸 알게되는 영화
16,9,"어르신들의 지금의 모습은 어쨌든, 저분들의 눈물겨운 고생과 희생이 있었기에 오늘날 대한민국과 젊은이들의 삶이 있는거죠."
17,7,"신파가 너무 많았다. 상업영화라 어쩔수없겠지. 제한된 시선에서 바라본 한국 근현대사, 한 인물의 관점에서 그려본 영화. 천만영화란 이런 것. 재미는 있다."
18,10,할아버지 할머니 새대 아버지 어머니 새대의 아픔을 조금이라도 이해할 수 있었던 영화 정말 감사합니다
19,6,그 시대때는 나라 자체가 그런형편 이었으니 다 그랬지.. 이런 국민들을 세뇌시키고 자기들 권력유지에 이용해먹은 세력들이 역시 이 영화를 이용해먹는것과!  이런 고생했던 이 분들이 그런것들에게 현재까지도 철저히 세뇌당해선 이용당하는게 너무 분하다!
20,10,진짜 인생영화
21,10,넘 옛시절생곽과 감동을 줘서 일하는 매장tv에 한 50번이상 틀어놨었다   일하면서 잠깐씩  봐도 그 때 그 시절을 잘 담아놓은 한폭의 그림이 나왔다 ^^
