,ratings,comments
0,9,"오ㅡㅡㅡㅡ재밋네. 역시 우리나라국민들국난극복취미의 피는 저때부터 쭉 흘러온거구만. 이순신멋지다. 설민석이순신편 보러가야겟다. 영화끝나면.  근데 나 이순신보는데, 노무현대통령이랑 문재인대통령 떠오르지? 국민만보고 가는 리더들. 울들목물음에, 특히 ""천행이엇다. 그순간 백성들이 나를 도와주지 않앗더냐""하는부분에서는 완전"
1,9,"최민식을 다시 보게 된 영화입니다. 개인의 욕심이 , 나약함이, 두려움이 나라를 힘들게 하네요 . 나라를 지킨 이땅의 모든 용기있는 선조들께 감사할뿐입니다."
2,10,다시봐도 감동입니다 왜놈한텐 한발자국도 내줄수 없죠
3,10,정말 우리나라 사람들이 대단한것 같아요ㅠㅠㅠ이순신 짱!
4,10,이런 영화를 재미로 보는 역사의식 없는 놈들이 아직도 존재한다니 한탄을 금치 못하겠다. 과거를 잊은 민족은 미래가 없다는 것을 다시 한번 마음속에 각인 시켰으면 한다.
5,10,몰입도 완전캡  정말  영화 잘 만들었습니다
6,10,지금까지 우리나라 이순신 드라마나 영화중에  이렇게 실제 상황을 재연한 경우는 없었어요 대부분이 막연한 상상으로 만든 영화들이죠  장군혼자 싸운것은 팩트고 나머지 장수들이 겁을 먹어서 뒤에 있었던것도 팩트고  사호집에 보면 백성 3만명의 피난민들이 이순신한테 몰렸는데  칠천량에서 대패하고 수군의 12척 밖에 없는걸 알고 모두 흩어질려는걸  오창익이라는 분이 설득해서 도망갈때도 없고  임금과의 의리를 지키자고 설득을 합니다  그래서 후방에 천척이 넘는 배가 위장하는 거고 언덕위에 수많은 사람들이  전쟁을 지켜봅니다   이런것도 재연을 잘했고  전쟁끝나고 마와 오이 먹는 장면도 재연을 아주 잘했습니다  배에 솜이불을 걸어뒀다는 기록이 있는데 그것 빠졌어요  저는 아주 재미 있게 봤습니다 
7,8,어떤 일본 애들은 이순신을 신으로 모신다지 이게 시나리오로만 나왔다면 나도 비판했겠는데... 실화잖아 물론 각색도 있었겠지만 현실이 연출보다 더한 경우를 종종 봐와서 말이지. 내부자들 보고 과장이 좀 있네 생각했는데 김학의 건 보고는 영화가 얌전했네 생각 들었음
8,10,영화 명량은 참으로 감동적이었지요. 난 영화관에서 보았는데... 가장 인상 깊었던 대사가 '나중에 자손들이 우리 이러고 고생한 거 알까?'와 '장군님 저희들이 (배를) 끌겠습니다요.'였지요.
9,10,영화관에서 볼때는 해전만 눈에띄는 스케일만 큰 영화라고생각했었는데 다시보니 볼때마다 다르게보이네요 멋지고 지금보니 현재활동 활발하게 하는 연예인들 보여서 신기하네요 굿굿입니다
